ano,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,chave_serie,empenhado,liquidado,pago,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia,empenhado_real,liquidado_real,pago_real
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2020,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2021,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2022,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2023,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2024,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2025,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2026,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0048,APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS,1073-0048,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,009E,CONCESSAO DE BENEFICIO A ESTUDANTES ESTRANGEIROS EM GRADUACAO NO BRASIL,1073-009E,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,009E,CONCESSAO DE BENEFICIO A ESTUDANTES ESTRANGEIROS EM GRADUACAO NO BRASIL,1073-009E,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,009E,CONCESSAO DE BENEFICIO A ESTUDANTES ESTRANGEIROS EM GRADUACAO NO BRASIL,1073-009E,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,0579,CONCESSAO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NAO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,0579,CONCESSÃO DE FINANCIAMENTO A ESTUDANTES DO ENSINO SUPERIOR NÃO-GRATUITO,1073-0579,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
