conjunto,entidade,ano,pago_real,score_combinado,n_sinais,sinais,desvio_padronizado,score_anomalia_2_3,sinal_flag,sinal_outlier
B,Fundação Universidade Federal do Acre,2021,385230790.2516409,0.20340961627369394,3,"outlier_multivariado(score=0.14), tendencia_robusta(desvio=-2.9)",-2.9058227093736497,0.13522884882108188,0.0,0.13522884882108188
B,Universidade Federal de Alfenas,2022,272991173.3682331,0.16956773000462322,3,"outlier_multivariado(score=0.23), tendencia_robusta(desvio=-2.7)",-2.7380547726748543,0.23370319001386963,0.0,0.23370319001386963
B,Universidade Federal de Ouro Preto,2022,501272074.8574392,0.14923717059639388,3,"outlier_multivariado(score=0.15), tendencia_robusta(desvio=-2.7)",-2.740714539945504,0.14771151178918168,0.0,0.14771151178918168
B,Universidade Federal de Alfenas,2021,272886618.5129955,0.14463707813222373,3,"outlier_multivariado(score=0.08), tendencia_robusta(desvio=-2.8)",-2.805176629773416,0.08391123439667125,0.0,0.08391123439667125
B,Fundação Universidade Federal de São João Del-Rei,2021,378048896.3020248,0.12081599630143319,3,"outlier_multivariado(score=0.04), tendencia_robusta(desvio=-2.8)",-2.795151094081471,0.03744798890429957,0.0,0.03744798890429957
A,RECONSTRUCAO E MODERNIZACAO DO MUSEU NACIONAL,2022,3801022.9584336625,1.0,2,"zscore_robusto, salto_anual, outlier_multivariado(score=1.00)",,1.0,1.0,1.0
B,Empresa Brasileira de Serviços Hospitalares,2015,3070451882.7047853,1.0,2,"salto_anual, outlier_multivariado(score=1.00)",,1.0,1.0,1.0
B,Universidade Federal do Cariri,2014,6960852.325296214,1.0,2,"zscore_robusto, tendencia_robusta(desvio=-7.9)",-7.933442394738038,,1.0,
B,Universidade Federal do Sul da Bahia,2015,56904394.84036528,0.9993065187239945,2,"salto_anual, outlier_multivariado(score=1.00)",,0.9986130374479889,1.0,0.9986130374479889
B,Universidade Federal do Norte do Tocantins,2023,33513712.65695581,0.9993065187239945,2,"salto_anual, outlier_multivariado(score=1.00)",,0.9986130374479889,1.0,0.9986130374479889
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2025,1515530941.12,0.9977220956719818,2,"zscore_robusto, atipico_entre_pares, outlier_multivariado(score=1.00)",,0.9954441913439636,1.0,0.9954441913439636
B,Universidade Federal do Rio de Janeiro,2017,5818148111.25747,0.9951456310679612,2,"atipico_entre_pares, outlier_multivariado(score=0.99)",,0.9902912621359223,1.0,0.9902912621359223
B,Universidade Federal do Cariri,2015,98529083.36736614,0.9951456310679612,2,"salto_anual, outlier_multivariado(score=0.99)",,0.9902912621359223,1.0,0.9902912621359223
B,Universidade Federal do Rio de Janeiro,2016,5697322387.102416,0.9944521497919556,2,"atipico_entre_pares, outlier_multivariado(score=0.99)",,0.9889042995839112,1.0,0.9889042995839112
B,Universidade Federal do Rio de Janeiro,2015,5518842664.109683,0.9927184466019418,2,"atipico_entre_pares, outlier_multivariado(score=0.99)",,0.9854368932038835,1.0,0.9854368932038835
B,Universidade Federal do Rio de Janeiro,2025,4445345011.27,0.992371705963939,2,"atipico_entre_pares, outlier_multivariado(score=0.98)",,0.984743411927878,1.0,0.984743411927878
B,Universidade Federal do Rio de Janeiro,2018,5350814640.400345,0.9895977808599168,2,"atipico_entre_pares, outlier_multivariado(score=0.98)",,0.9791955617198336,1.0,0.9791955617198336
