ano,chave_serie,empenhado,liquidado,pago,empenhado_real,liquidado_real,pago_real,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,serie_curta,ano_parcial,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia
2014,1073-10U0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10U0,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO DAS OSTRAS,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-10U1,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10U1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE NOVA FRIBURGO,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-10US,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10US,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE TRES RIOS,,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-119O,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119O,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE LAVRAS (UFLA),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119Q,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119Q,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO (UFERSA),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119R,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119R,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE ALAGOAS (UFAL),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119S,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119S,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE RONDÔNIA (UNIR),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119T,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119T,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO (UNIRIO),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-119U,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119U,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119V,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119V,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DA BAHIA (UFBA),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
