ano,populacao,interpolado
2014,202768562.0,False
2015,204450049.0,False
2016,206081432.0,False
2017,207660929.0,False
2018,208494900.0,False
2019,210147125.0,False
2020,211755692.0,False
2021,213317639.0,False
2022,213073009.33333334,True
2023,212828379.66666666,True
2024,212583750.0,False
2025,213421037.0,False
